from_airport_code,from_country,dest_airport_code,dest_country,aircraft_type,airline_number,airline_name,flight_number,departure_time,arrival_time,duration,stops,price,currency,co2_emissions,avg_co2_emission_for_this_route,co2_percentage,scan_date
VIE,Austria,IST,Turkey,ATR 42/72|Boeing 737,multi,[Air Serbia| Turkish Airlines],JU605|JU605,2022-05-06 20:45:00,2022-05-07 18:15:00,1230,1,233.0,USD,191000.0,143000.0,33%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,ATR 72|Airbus A330,multi,[TAROM| Turkish Airlines],RO342|RO342,2022-05-06 09:40:00,2022-05-06 23:20:00,760,1,246.0,USD,165000.0,143000.0,15%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,ATR 42/72|Boeing 737,multi,[Air Serbia| Turkish Airlines],JU601|JU601,2022-05-06 09:45:00,2022-05-06 18:15:00,450,1,254.0,USD,172000.0,143000.0,20%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,ATR 42/72|Airbus A320,multi,[Air Serbia| Turkish Airlines],JU601|JU601,2022-05-06 09:45:00,2022-05-06 23:10:00,745,1,254.0,USD,193000.0,143000.0,34%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A321|Airbus A320,LH,[Lufthansa],LH1247|LH1247,2022-05-06 06:10:00,2022-05-06 13:00:00,350,1,257.0,USD,293000.0,143000.0,105%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A321|Airbus A321neo,LH,[Lufthansa],LH1247|LH1247,2022-05-06 06:10:00,2022-05-06 21:15:00,845,1,257.0,USD,265000.0,143000.0,85%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A321neo,multi,[Austrian| Lufthansa],OS121|OS121,2022-05-06 07:10:00,2022-05-06 21:15:00,785,1,257.0,USD,260000.0,143000.0,81%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A321|Airbus A321neo,LH,[Lufthansa],LH1233|LH1233,2022-05-06 09:10:00,2022-05-06 21:15:00,665,1,257.0,USD,265000.0,143000.0,85%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A320|Airbus A321neo,multi,[Austrian| Lufthansa],OS129|OS129,2022-05-06 10:10:00,2022-05-06 21:15:00,605,1,257.0,USD,260000.0,143000.0,81%,2022-04-29 17:52:59
VIE,Austria,IST,Turkey,Airbus A321|Airbus A321neo,LH,[Lufthansa],LH1239|LH1239,2022-05-06 14:10:00,2022-05-06 21:15:00,365,1,257.0,USD,265000.0,143000.0,85%,2022-04-29 17:52:59
